GALGEN;KWPOLSKA 2012
SETGALNAME;w8rpgal
SETENTRYNAME;A Review of Windows 8 Release Preview.
ss001.png;New boot logo (wrong aspect ratio).
ss002.png;Setup: Language choice.
ss003.png;Setup: Install now.
ss004.png;Setup: Product Key + new menus (Office XP style).
ss005.png;Setup: License agreement.
ss006.png;Setup: New controls in CMD.
ss007.png;Setup: Installation type choice.
ss008.png;Setup: Installing Windows…
ss009.png;New Windows boot logo (wrong aspect ratio).
ss010.png;New Windows boot logo.
ss011.png;First Boot: Please Wait…
ss012.png;First Boot: Preparing… (stretched text)
ss013.png;First Boot: Getting devices ready… (stretched text)
ss014.png;First Boot: Getting devices ready… (stretched text)
ss015.png;First Boot: Personalize.
ss016.png;First Boot: Settings. (main screen)
ss017.png;First Boot: Settings. (Customize 1/5)
ss018.png;First Boot: Settings. (Customize 2/5)
ss019.png;First Boot: Settings. (Customize 3/5)
ss020.png;First Boot: Settings. (Customize 4/5)
ss021.png;First Boot: Settings. (Customize 5/5)
ss022.png;First Boot: Sign in to your PC.
ss023.png;First Boot: Sign in to your PC.
ss024.png;First Boot: Sign in without a Microsoft account.  (should be the default screen).
ss025.png;First Boot: Checking for a Microsoft account, rensembles Windows XP LogonUI.
ss026.png;First Boot: Enter your Microsoft account password.
ss027.png;First Boot: Sign in/Please wait…
ss028.png;First Boot: Enter security verification info.
ss029.png;First Boot: Creating your account…
ss030.png;First Boot: Finalizing your settings…
ss031.png;First Boot: Your PC will be ready in just a moment.
ss032.png;Default start screen.
ss033.png;Default start screen after 10 seconds.
ss034.png;Mail: Add your Google account.
ss035.png;Mail: GOG.com newsletter (again!).
ss036.png;Mail: right-click menu now accessible from keyboards
ss037.png;People: displaying Google contacts.
ss038.png;People: connect with Twitter.
ss039.png;People: connect with Twitter, displaying authorization page, referencing WP7.
ss040.png;People: wait while we finish Twitter authorization.
ss041.png;Messaging.
ss042.png;People now displaying avatars of people from Twitter.
ss043.png;People: What’s new: displaying tweets.
ss044.png;Pepole: Me: displaying my recent tweet.
ss045.png;Calendar.  Boże Ciało = Polish/Catholic holiday.  Events censored.  Green = GMail, Blue = Windows Live.
ss046.png;Photos: displaying SkyDrive photos, Photos library on my Windows 7 PC and other stuff.
ss047.png;Photos: it’s lonely in here.
ss048.png;Weather: enter location.
ss049.png;Weather: Wrocław, Poland. (°F, useless scale for me)
ss050.png;Weather: change to Celsius.
ss051.png;Internet Explorer: http://kwpolska.tk/.  Also featuring new mouse cursors.
ss052.png;Store: Getting the Store ready for you…
ss053.png;Store: main page.
ss054.png;Maps: Poland.
ss055.png;SkyDrive.
ss056.png;SkyDrive: Portal 2 OST.
ss057.png;Music.
ss058.png;Music: My Music. (local Music Library)
ss059.png;Music: Playlist: Portal 2 OST.
ss060.png;Music: Playlist: Portal 2 OST.
ss061.png;Music: Playlist: entry management.
ss062.png;Music: now playing (right-click.)
ss063.png;Music: now playing (on main screen).
ss064.png;Music: now playing (full-screen).
ss065.png;Music: now playing (full-screen, with background made by the app).
ss066.png;Xbox LIVE Games.
ss067.png;Camera.  Don’t have one, so pretty useless.
ss068.png;News.
ss069.png;Sports.
ss070.png;Travel.
ss071.png;Finance.
ss072.png;Evernote.
ss073.png;Evernote: all notes.
ss074.png;msnbc.com.
ss075.png;msnbc.com: Technolog.
ss076.png;msnbc.com: Technolog.
ss077.png;Fruit Ninja, what is that × symbol?
ss078.png;Fruit Ninja: can’t open.
ss079.png;Store/Fruit Ninja: This apps needs to be repaired. (failed.)
ss080.png;Wikipedia app.
ss081.png;Wikipedia: dispaying an article.
ss082.png;Wikipedia: displaying an infobox.  Why can’t it be shown with the rest of the article?
ss083.png;Full Metro start screen.
ss084.png;PC settings: Personalize/Lock screen.
ss085.png;PC settings: Personalize/Start screen.
ss086.png;PC settings: Personalize/Account picture.
ss087.png;PC settings: Users.
ss088.png;PC settings: Notifications.
ss089.png;PC settings: Search.
ss090.png;PC settings: Share.
ss091.png;PC settings: General (1/2).
ss092.png;PC settings: General (2/2).
ss093.png;PC settings: Privacy.
ss094.png;PC settings: Devices.  Notice the “Download over metered connections” section.
ss095.png;PC settings: Ease of Access.
ss096.png;PC settings: Sync your settings.
ss097.png;PC settings: HomeGroup.
ss098.png;PC settings: Windows Update.
ss099.png;PC settings: Windows Update/updates list.
ss100.png;Desktop.
ss101.png;Right-click menu.
ss102.png;Personalization.
ss103.png;Personalization: default theme set.
ss104.png;Most of the new UI elements on one screen.
ss105.png;Help and Support.
ss106.png;Lock screen.
ss107.png;Login screen.
ss108.png;Login screen with a password, note the “show” button.
ss109.png;Welcome.  (takes a long time to get to the start screen)
ss110.png;SkyDrive: downloading files. (1/3)
ss111.png;SkyDrive: downloading files. (2/3)
ss112.png;SkyDrive: downloading files. (3/3)
ss113.png;Open with...
ss114.png;Open with: More options.
ss115.png;Photos: You have new apps that can open this type of file. (1/2)
ss116.png;Photos: You have new apps that can open this type of file. (2/2)
ss117.png;Control Panel: new System and Security icon, dropping the Windows shield from its icon.  (W7 style: Soft7 2.0)
ss118.png;Control Panel: Add features to Windows 8 vs Windows Anytime Upgrade.
